EpLenMean,InitialReturnMean,InitialReturnStd,OptimizationReturnMin,InitialReturnMax,InitialReturnMin,ReturnStepMaxmin,Weights,OptimizationReturnMax,ESSRenyiHarmonic,EmpiricalD2Harmonic,StdWReturnMean,MeanD2-0,MeanEntropy,Epsilon,Inner Iteration,EpThisIter,InitialBound,ReturnMeanIW,Iteration,WReturnMean,ReturnStepMax,MinTargetPdf,VarianceInitializer,MeanIW,EpisodesSoFar,TimeElapsed,MinBehavPdf,LearnableVariance,ESSRenyiArithmetic,OptimizationReturnMean,MinIW,Bound,TimestepsSoFar,Penalization,MaxIW,DivergenceHarmonic,StdIW,EmpiricalD2Arithmetic,EpRewMean
500.0,-416.1981,0.22697312,,-415.2175,-416.53253,0.8419703,[0. 0.],1.315033,100.0,1.0,,1.0,0.4189424,2.0,1,100,-0.2210152,8.685047,1,0.16336976,0.8419703,-249.49571,-1.0,73.99504,100,29.74172282218933,-249.49571,,100.0,0.33444428,0.3397763,-717181600.0,50000,True,752.9456,1.5479401e+20,128.57344,1.0,-416.1980854316056
500.0,-412.33914,3.0673714,,-402.11072,-416.46948,0.8430276,[-0.017  0.249],14.358765,100.0,1.0,,1.0,0.4189424,2.0,1,100,-33.341198,130.32845,2,26.468527,0.8430276,-256.7042,-1.0,5.7764683,200,63.56322431564331,-256.7042,,100.0,4.1303463,0.0020841996,-50737.523,100000,True,75.465034,54224900.0,8.512491,1.0,-412.339136646986
500.0,-408.17603,4.539331,,-397.89954,-416.33228,0.8486431,[-0.018  0.312],18.43274,100.0,1.0,,1.0,0.4189424,2.0,1,100,-98.45609,3240.4375,3,87.13025,0.8486431,-257.5113,-1.0,46.19577,300,99.9106330871582,-257.5113,,100.0,8.156269,0.016972313,-2268509.0,150000,True,1163.7673,40005747000.0,138.29083,1.0,-408.17600730374454
500.0,-400.70325,6.0798125,,-387.98544,-416.4384,0.8527431,[-0.022  0.374],28.452942,100.0,1.0,,1.0,0.4189424,2.0,1,100,-311.54654,212013.58,4,284.56015,0.8527431,-250.44987,-1.0,1116.5845,400,138.87835001945496,-250.44987,,100.0,15.735185,0.18463737,-837380200.0,200000,True,74419.125,962408100000000.0,7418.2886,1.0,-400.70320005431773
500.0,-388.91718,8.274216,,-362.182,-407.4361,0.855618,[-0.017  0.437],45.25409,100.0,1.0,,1.0,0.4189424,2.0,1,100,-479.6789,3166670.2,5,411.41272,0.855618,-252.6218,-1.0,7304.364,500,170.85052013397217,-252.6218,,100.0,18.518913,0.9417668,-58271150000000.0,250000,True,168743.11,7.2864884e+23,23070.26,1.0,-388.9171844097972
470.71,-346.6101,45.738674,,-170.47751,-411.5546,0.8604605,[-0.014  0.499],241.07709,100.0,1.0,,1.0,0.4189424,2.0,1,100,-8247.126,4126664200.0,6,6309.8115,0.8604605,-255.5745,-1.0,853678.25,600,205.85440850257874,-255.5745,,100.0,64.94448,0.010113314,-5.8117175e+17,297071,True,25764656.0,8.999694e+28,3460122.0,1.0,-346.6101185880601
328.46,-237.33469,64.89547,,-128.04732,-385.94147,0.8617358,[-0.012  0.562],257.89417,100.0,1.0,,1.0,0.4189424,2.0,1,100,-28512.412,5679120400.0,7,26295.4,0.8617358,-232.39973,-1.0,1377335.4,700,230.19679522514343,-232.39973,,100.0,148.60678,0.14341444,-5.4592487e+16,329917,True,73208760.0,6.063762e+26,7883102.5,1.0,-237.33467802926899
255.57,-184.10245,43.088306,,-106.93878,-295.0257,0.8609797,[-0.014  0.624],188.08691,100.0,1.0,,1.0,0.4189424,2.0,1,100,-15339.805,47949600.0,8,14160.569,0.8609797,-176.27354,-1.0,13045.145,800,248.36454701423645,-176.27354,,100.0,110.92326,0.113696255,-179575100000.0,355474,True,719006.9,2.3177598e+16,74935.945,1.0,-184.1024400767684
215.9,-155.33339,36.28956,,-95.51349,-285.41492,0.86084324,[-0.032  0.684],189.90143,100.0,1.0,,1.0,0.4189424,2.0,1,100,-19440.232,8279950.5,9,18238.139,0.86084324,-159.72385,-1.0,493.76898,900,264.74629831314087,-159.72385,,100.0,130.08153,0.02352241,-66330240000.0,377064,True,11568.762,3043997700000000.0,1589.4897,1.0,-155.33338240653276
247.52,-177.68347,41.27637,,-105.13988,-368.27032,0.8653736,[-0.028  0.622],263.13043,100.0,1.0,,1.0,0.4189424,2.0,1,100,-40335.027,63857896.0,10,38027.082,0.8653736,-208.50526,-1.0,3461.5896,1000,283.42222261428833,-208.50526,,100.0,190.58684,0.12010184,-12492503000000.0,401816,True,170987.7,2.9298985e+19,18012.693,1.0,-177.68348842307924
