Penalization,Inner Iteration,MeanIW,InitialBound,WReturnMean,MinIW,ReturnStepMax,EpisodesSoFar,Bound,OptimizationReturnMin,InitialReturnStd,MeanEntropy,Weights,MaxIW,EmpiricalD2Arithmetic,MinTargetPdf,OptimizationReturnMax,InitialReturnMean,ReturnStepMaxmin,EpRewMean,OptimizationReturnMean,InitialReturnMin,EmpiricalD2Harmonic,MeanD2-0,ESSRenyiHarmonic,ReturnMeanIW,Iteration,ESSRenyiArithmetic,DivergenceHarmonic,Epsilon,EpThisIter,StdIW,InitialReturnMax,LearnableVariance,TimeElapsed,EpLenMean,StdWReturnMean,MinBehavPdf,TimestepsSoFar,VarianceInitializer
True,1,107.694725,-23326.527,12450.944,0.17426252,9.99995,11,-429469100000000.0,,60.786198,0.41894197,[ 0. -0. -0. -0.],1139.0464,1.0,-10.924742,229.98409,93.57341,9.99995,93.5734099796398,73.60664,19.96677,1.0,1.0,11.0,6490901.0,1,11.0,1.5594064e+21,1.0,11,326.24713,249.95085,,2.1461598873138428,10.363636363636363,,-10.924742,114,-1.0
True,2,0.059398733,-77591290000.0,307.6836,4.4416595e-07,9.999923,22,-77454180000.0,,40.854164,0.41894197,[-0.107 -0.319 -0.097 -0.357],0.24965169,67.36249,-25.402855,149.95871,111.74729,9.999923,111.74729341143205,61.77875,49.968536,67.36249,67.36249,0.16329563,310.4765,1,0.16329563,123912680000000.0,1.0,11,0.082048215,199.92725,,4.922093868255615,12.181818181818182,,-18.089027,248,-1.0
True,3,2.4402292,-inf,6296.995,4.0885014e-11,9.999996,33,-inf,,238.75797,0.41894197,[-0.114 -0.315 -0.101 -0.358],26.357183,3791774000.0,-50.498337,879.8171,204.44995,9.999996,204.44996033669443,154.48407,49.9659,3791774200.0,3791774000.0,2.9010165e-09,6296.995,1,2.9010168e-09,inf,1.0,11,7.5639796,929.78296,,5.648529052734375,21.454545454545453,,-38.538208,484,-1.0
True,4,0.34060955,-36478155000000.0,5772.0786,0.00010211459,9.999994,44,-790990600000000.0,,54.905792,0.41894197,[-0.114 -0.315 -0.101 -0.358],1.333835,234.7872,-13.316433,190.00037,121.74478,9.999994,121.74477521905891,71.79629,49.948494,234.7872,234.7872,0.046850935,5590.129,1,0.046850935,6.228477e+21,1.0,11,0.47040856,239.94885,,6.13782811164856,13.181818181818182,,-10.919315,629,-1.0
True,5,10.112836,-4107931100.0,20056.836,0.00023987652,9.999982,55,-2667784000.0,,51.7437,0.41894197,[-0.373 -0.387 -0.233 -0.319],89.7603,33.549316,-13.763916,179.9325,104.47183,9.999982,104.47183404716742,94.49068,9.981152,33.549316,33.549316,0.32787552,22019.81,1,0.32787552,180544130000.0,1.0,11,25.773405,189.91365,,6.6255176067352295,11.454545454545455,,-9.314421,755,-1.0
True,6,0.1948204,-597149400000.0,1749.502,0.002117239,9.999941,66,-501012300000.0,,28.539108,0.41894197,[-0.3   -0.183 -0.268 -0.407],1.1578275,120.82659,-9.438726,119.9628,101.73457,9.999941,101.73457503626669,51.780277,49.954296,120.82659,120.82659,0.09103956,1674.8257,1,0.09103956,9937161000000000.0,1.0,11,0.32256094,169.9171,,7.324409484863281,11.181818181818182,,-7.365765,878,-1.0
True,7,2.6048057,-53398565000000.0,47871.273,0.0002633232,9.999992,77,-53398565000000.0,,72.74041,0.41894197,[-0.245 -0.208 -0.208 -0.405],14.2807455,374.2572,-13.599963,199.97354,117.208694,9.999992,117.20869506188843,77.276245,39.93245,374.2572,374.2572,0.029391551,47871.273,1,0.029391551,2.8405911e+19,1.0,11,4.9949193,239.90599,,7.8761069774627686,12.727272727272727,,-10.131216,1018,-1.0
True,8,0.26356217,-622324100000.0,1931.9391,8.290239e-06,9.999989,88,-163587080000.0,,67.317986,0.41894197,[-0.245 -0.208 -0.208 -0.405],1.3354541,77.41383,-19.120659,269.94977,116.28562,9.999989,116.28562084291143,86.32666,29.958958,77.41383,77.41383,0.14209346,1809.1833,1,0.14209346,109157990000000.0,1.0,11,0.4095901,299.90872,,8.41772747039795,12.636363636363637,,-13.265398,1157,-1.0
True,9,223.08063,-34979295000.0,355839.1,0.0007708002,9.999975,99,-77722900000.0,,55.5609,0.41894197,[-0.035 -0.144 -0.134 -0.439],2439.2085,69.74206,-14.493917,169.9875,121.744965,9.999975,121.74496741258936,81.787735,39.95723,69.74206,69.74206,0.15772405,366552.06,1,0.15772405,102609596000000.0,1.0,11,700.81067,209.94473,,9.000306844711304,13.181818181818182,,-11.034847,1302,-1.0
True,10,1.0311685,-3734301.0,2996.8123,0.000872477,9.998391,110,-3792125.5,,38.426876,0.41894197,[-0.097 -0.271 -0.115 -0.374],4.417221,5.2161055,-10.846064,129.94121,73.57496,9.998391,73.57495673979078,63.59104,9.983917,5.2161055,5.2161055,2.108853,3448.8232,1,2.108853,1235680.5,1.0,11,1.3140129,139.92513,,9.272012948989868,8.363636363636363,,-7.361116,1394,-1.0
