MeanEntropy,VarianceInitializer,MeanD2-0,EpisodesSoFar,ReturnStepMax,EmpiricalD2Arithmetic,Weights,OptimizationReturnMax,InitialReturnStd,EmpiricalD2Harmonic,ESSRenyiHarmonic,OptimizationReturnMean,MinTargetPdf,Iteration,Epsilon,ESSRenyiArithmetic,InitialReturnMean,OptimizationReturnMin,MaxIW,InitialReturnMin,InitialReturnMax,EpLenMean,Bound,TimeElapsed,MinIW,Inner Iteration,MeanIW,WReturnMean,MinBehavPdf,DivergenceHarmonic,ReturnStepMaxmin,EpRewMean,StdIW,InitialBound,TimestepsSoFar,LearnableVariance,Penalization,StdWReturnMean,ReturnMeanIW,EpThisIter
0.4189424,-1.0,1.0,100,0.84202,1.0,[ 0. -0.],1.316864,0.259499,1.0,100.0,0.3593576,-244.67203,1,2.0,100.0,-416.20853,,2239.595,-416.5679,-415.25104,500.0,-479429400.0,7.199077367782593,0.1953614,1,81.70745,0.19647762,-244.67203,6.8790435e+19,0.84202,-416.20854343041776,248.85493,-0.2542837,50000,,True,,12.274933,100
0.4189424,-1.0,1.0,200,0.8437288,1.0,[0.025 0.249],10.686371,2.6891556,1.0,100.0,4.2047067,-246.41093,2,2.0,100.0,-412.3817,,25356.95,-416.58643,-405.90005,500.0,-723613140000000.0,16.948598384857178,0.020058785,1,1237.4312,24.911116,-246.41093,3.6135534e+28,0.8437288,-412.3817198716104,3743.36,-28.717844,100000,,True,,49241.953,100
0.4189424,-1.0,1.0,300,0.8485503,1.0,[0.023 0.374],24.725891,5.4429135,1.0,100.0,14.985003,-255.37502,3,2.0,100.0,-401.07172,,40303.24,-416.0567,-391.3308,500.0,-118719420.0,26.88442373275757,0.014880516,1,1531.587,254.17561,-255.37502,33737165000000.0,0.8485503,-401.0717007535696,5602.493,-274.55515,150000,,True,,350699.9,100
0.4189424,-1.0,1.0,400,0.85190624,1.0,[0.029 0.436],42.19168,8.039231,1.0,100.0,26.558565,-244.33255,4,2.0,100.0,-389.71402,,424919.78,-416.27258,-374.0809,500.0,-824196600000.0,39.041165590286255,0.07763118,1,16465.29,769.9865,-244.33255,1.9292286e+20,0.85190624,-389.714019395262,58329.26,-829.326,200000,,True,,12448463.0,100
0.4189424,-1.0,1.0,500,0.8623455,1.0,[0.027 0.498],196.95744,44.224594,1.0,100.0,66.607864,-251.73392,5,2.0,100.0,-349.53824,,29851974.0,-416.1461,-219.18864,471.53,-4.2676836e+17,53.84782648086548,0.15593642,1,1123251.4,6392.4214,-251.73392,1.0892746e+29,0.8623455,-349.53822472155093,4264435.0,-7685.5244,247153,,True,,2254690600.0,100
0.4189424,-1.0,1.0,600,0.8614787,1.0,[0.027 0.561],255.02542,58.89405,1.0,100.0,136.88326,-239.69029,6,2.0,100.0,-236.32933,,8151535600.0,-373.21262,-118.187195,328.81,-8.293646e+17,66.87819576263428,0.07086001,1,82563050.0,22205.535,-239.69029,1.4635226e+29,0.8614787,-236.32936013266445,810987140.0,-24373.498,280034,,True,,115445690000.0,100
0.4189424,-1.0,1.0,700,0.8657979,1.0,[0.025 0.623],209.05956,44.26613,1.0,100.0,122.15286,-191.6695,7,2.0,100.0,-182.16762,,6214495.0,-304.32047,-95.26091,252.82,-7222548000000.0,80.81897473335266,0.07894398,1,72386.17,16880.81,-191.6695,2.457721e+19,0.8657979,-182.16760918721556,618481.8,-18337.688,305316,,True,,88373624.0,100
0.4189424,-1.0,1.0,800,0.86246234,1.0,[-0.083  0.685],150.17773,33.52812,1.0,100.0,88.78778,-148.58606,8,2.0,100.0,-155.70322,,42845.656,-244.491,-94.31326,214.74,-5752337000.0,93.08076691627502,0.09531184,1,1682.9893,9007.404,-148.58606,58373780000000.0,0.86246234,-155.7032159167528,6015.8193,-9759.189,326790,,True,,8544327.0,100
0.4189424,-1.0,1.0,900,0.86174583,1.0,[-0.062  0.744],223.06497,34.93445,1.0,100.0,171.54485,-182.86447,9,2.0,100.0,-134.9504,,1029442.75,-306.49524,-83.43026,187.46,-8472420700000.0,102.49198698997498,0.086770505,1,12210.019,30648.047,-182.86447,2.609107e+19,0.86174583,-134.95039890170096,102434.52,-32306.654,345536,,True,,390970620.0,100
0.4189424,-1.0,1.0,1000,0.8583628,1.0,[0.187 0.771],144.11125,32.409134,1.0,100.0,90.869705,-133.33987,10,2.0,100.0,-126.4338,,4501.589,-217.30351,-73.19226,175.89,-192352460.0,112.28456449508667,0.0019474215,1,222.44014,9307.654,-133.33987,75634156000.0,0.8583628,-126.43380475610495,694.4278,-9999.926,363125,,True,,1967115.6,100
0.4189424,-1.0,1.0,1100,0.86370355,1.0,[0.177 0.833],165.23108,29.559387,1.0,100.0,120.40525,-142.12427,11,2.0,100.0,-116.40178,,22106.94,-236.80704,-71.575966,162.3,-1485488600.0,121.36489152908325,0.2507897,1,531.66986,15371.185,-142.12427,2642803400000.0,0.86370355,-116.4017761708796,2420.746,-16281.232,379355,,True,,6057911.5,100
0.4189424,-1.0,1.0,1200,0.8606036,1.0,[0.163 0.894],165.98477,28.13918,1.0,100.0,124.51267,-132.8139,12,2.0,100.0,-103.08267,,35063.105,-227.59537,-61.610596,144.9,-51691620.0,130.32252764701843,0.032559115,1,638.0425,16295.223,-132.8139,2407736800.0,0.8606036,-103.0826809695363,3621.844,-17213.59,393845,,True,,6628656.0,100
0.4189424,-1.0,1.0,1300,0.86363184,1.0,[0.159 0.956],197.6835,29.611948,1.0,100.0,157.78952,-141.91998,13,2.0,100.0,-100.78793,,257707.23,-258.57745,-60.89395,141.55,-232268300.0,140.5430109500885,0.024195513,1,3049.0332,25774.398,-141.91998,19415386000.0,0.86363184,-100.78793219313026,25844.91,-27077.027,408000,,True,,50761636.0,100
0.4189424,-1.0,1.0,1400,0.8682556,1.0,[0.174 1.017],146.96207,25.68421,1.0,100.0,102.60621,-133.83539,14,2.0,100.0,-94.78638,,22115.037,-197.3926,-50.43052,133.71,-51634776.0,151.99152517318726,0.11719444,1,290.8285,11187.712,-133.83539,4312858600.0,0.8682556,-94.78638543009758,2206.733,-11907.641,421371,,True,,4355384.5,100
0.4189424,-1.0,1.0,1500,0.8607906,1.0,[0.175 0.955],173.57501,28.915504,1.0,100.0,134.19489,-129.3519,15,2.0,100.0,-101.22625,,138578600.0,-235.42114,-61.846134,141.54,-1.7630556e+19,163.33996391296387,0.49559522,1,3139434.5,18844.373,-129.3519,3.081951e+32,0.8607906,-101.2262551665306,17454706.0,-19848.652,435525,,True,,56569307000.0,100
0.4189424,-1.0,1.0,1600,0.85957646,1.0,[0.238 1.062],109.260475,20.239447,1.0,100.0,78.98474,-92.31112,16,2.0,100.0,-91.485886,,384068780000.0,-170.47064,-61.210167,129.16,-4.7706448e+20,174.84703707695007,0.48740196,1,3931122200.0,6648.2246,-92.31112,1.4372895e+36,0.85957646,-91.48589783489705,38214582000.0,-7046.153,448441,,True,,2987831600000.0,100
0.4189424,-1.0,1.0,1700,0.85936207,1.0,[0.248 1.187],88.96003,18.243439,1.0,100.0,55.012627,-81.2531,17,2.0,100.0,-85.674255,,41277070000.0,-140.68689,-51.72686,122.12,-9.0878955e+19,187.91236424446106,0.13155933,1,418232740.0,3359.2122,-81.2531,1.1868327e+35,0.85936207,-85.67426159083843,4106675000.0,-3623.0083,460653,,True,,193518420000.0,100
0.4189424,-1.0,1.0,1800,0.8582367,1.0,[0.272 1.31 ],88.115654,19.445011,1.0,100.0,55.78919,-80.54967,18,2.0,100.0,-83.62963,,346803360.0,-139.41882,-51.30317,118.83,-2.0736684e+19,199.35625576972961,0.501135,1,5904747.5,3490.542,-80.54967,6.419612e+33,0.8582367,-83.62963338986039,35843096.0,-3749.354,472536,,True,,9961779000.0,100
