InitialBound,MeanIW,MinIW,InitialReturnStd,EpRewMean,Iteration,Bound,EpLenMean,J_sample_variance,EpisodesSoFar,TimestepsSoFar,Weights,EmpiricalD2,EpThisIter,InitialReturnMin,TimeElapsed,InitialReturnMax,InitialReturnMean,StdIW,ReturnMeanIW,MaxIW
2572.1897,1.3339578,0.0039777593,3.275067,-108.67197648780628,1,3433.5903,17.45,33991916.0,100,1745,[-0.689  0.919 -0.673  0.288  0.   ],4.720793,100,-4.7708664,4.34686279296875,9.20005,3.7384034e-06,2.272125,3433.5903,18.893276
2676.8215,7.399896,1.5196349e-08,2.941484,-108.7572537315943,2,19919.477,16.89,29586465000.0,200,3434,[-0.62   0.982 -0.571  0.192 -0.077],10053861000.0,100,-4.1783752,14.862393617630005,11.733063,7.6293946e-07,64.91236,19919.477,831.4536
2678.586,15.661233,4.850433e-06,2.4723852,-108.83514829215126,3,42001.68,16.89,125726400000.0,300,5123,[-0.546  1.126 -0.426  0.339 -0.2  ],86148200000.0,100,-3.5820694,26.97283411026001,7.0695496,8.163453e-06,133.23006,42001.68,1340.1409
2619.701,1.0682265,0.1496154,2.3230062,-109.51219619601203,4,2799.0469,17.3,3590805.8,400,6853,[-0.634  0.986 -0.381  0.331 -0.06 ],1.684295,100,-3.6979675,41.74555444717407,7.1449203,-6.1035155e-07,0.7248796,2799.0469,6.818715
2587.92,24.52912,2.0198177e-29,2.8263073,-109.55817384647311,5,63467.668,17.48,401127180000.0,500,8601,[-0.653  0.957 -0.415  0.283 -0.051],inf,100,-4.398056,51.66968131065369,13.818314,-2.4414062e-06,244.94148,63467.668,4253.816
2397.7927,1.1802808,0.0015214673,2.361142,-111.20688352973991,6,2830.2356,18.87,10850926.0,600,10488,[-0.294  0.476 -0.772  0.728  0.205],3.307896,100,-3.7807083,64.78554487228394,7.252983,-9.384155e-06,1.3771502,2830.2356,7.817412
2332.2786,1.1691242,0.0036372424,2.2484984,-111.46525754332859,7,2729.3665,19.35,40454384.0,700,12423,[-0.26   0.528 -0.735  0.784  0.058],20.193007,100,-3.9288406,76.85977602005005,7.065689,-2.4414062e-06,2.7611284,2729.3665,20.44171
2221.587,12.333024,1.3350055e-25,1.8919951,-112.88070625131769,8,27461.633,20.35,58881520000.0,800,14458,[-0.216  0.419 -0.707  0.774  0.062],2340508.5,100,-3.5353699,88.09123158454895,4.072487,-1.3809204e-05,109.879196,27461.633,1119.9785
1993.6887,1.7372261,4.683931e-08,1.9283539,-115.01695270648561,9,3463.133,22.57,538225660.0,900,16715,[-0.274  0.255 -0.766  1.022 -0.467],13687.878,100,-3.4202957,102.41436243057251,4.1474,-1.2207031e-06,11.673895,3463.133,214.03232
2050.4814,3.6180806,4.9066657e-05,1.6232576,-115.19163422553946,10,7441.5825,22.1,4007692800.0,1000,18925,[-0.24   0.231 -0.68   1.005 -0.575],49234.035,100,-2.5711136,114.97602105140686,7.1045,-9.460449e-06,31.093855,7441.5825,315.92584
2010.839,24.76478,6.504393e-05,1.519289,-116.10262676108832,11,50242.49,22.6,228166100000.0,1100,21185,[-0.337  0.217 -0.619  1.022 -0.53 ],inf,100,-2.522972,128.61791682243347,4.8310165,1.1444092e-06,242.16246,50242.49,2520.906
1953.7826,6.4382215,4.3013204e-10,1.5421786,-116.9847284493836,12,12667.763,23.27,13887373000.0,1200,23512,[-0.166  0.093 -0.714  1.227 -0.203],11309974.0,100,-2.217804,142.72642350196838,6.5405045,-5.7983398e-06,61.27761,12667.763,634.5785
1970.257,1.788449,1.2598461e-11,1.3798658,-116.74788183148097,13,3536.8347,23.08,311072740.0,1300,25820,[-0.049  0.081 -0.812  1.476 -0.38 ],109021390000.0,100,-2.2503204,157.29434895515442,4.214325,2.9754638e-06,9.038617,3536.8347,149.79066
1863.6614,1.4147716,0.0023907525,1.5739298,-117.8715660470705,14,2642.775,24.32,87805910.0,1400,28252,[-0.149 -0.043 -0.913  1.712 -0.369],152.49551,100,-2.4688568,170.37267446517944,5.1555557,1.4953614e-05,5.123396,2642.775,78.30619
1842.1919,2.0365946,1.463427e-06,1.8363934,-117.85310328577201,15,3752.7117,24.54,191400380.0,1500,30706,[-0.23  -0.083 -0.899  1.635 -0.379],40259.047,100,-2.8359146,183.4520709514618,5.6340485,1.1520386e-05,7.7018766,3752.7117,323.96265
1936.5284,1.4199872,0.00028042027,1.6698453,-117.15662777271376,16,2752.8923,23.47,83604220.0,1600,33053,[-0.185 -0.002 -0.89   1.725 -0.488],67.43484,100,-2.478363,197.79913973808289,5.8867035,-5.340576e-06,4.7638288,2752.8923,44.4914
1961.3943,2.238294,1.331629e-05,1.5700675,-116.62048185928998,17,4400.4233,23.14,1013137340.0,1700,35367,[-0.166  0.038 -0.916  1.659 -0.548],408649.53,100,-2.3012009,209.0360119342804,4.8945465,2.1362305e-06,16.378746,4400.4233,164.26883
1850.671,4.4486985,1.0984282e-14,1.7998358,-117.44068191174898,18,8272.604,24.38,6443095000.0,1800,37805,[-0.127  0.031 -1.021  1.684 -0.501],inf,100,-2.7331848,223.46783351898193,5.5010834,-7.781982e-06,43.85859,8272.604,845.06635
2027.8969,9.775052,1.6936106e-12,1.8075857,-115.40185229724571,19,19866.65,22.33,38993760000.0,1900,40038,[-0.203 -0.141 -1.068  1.534 -0.327],658755400000000.0,100,-3.1674042,237.5436270236969,5.8113785,-6.1035157e-06,97.92425,19866.65,998.02844
1725.8126,4.487779,7.8450007e-13,1.9773834,-119.48906928288086,20,7779.6055,26.13,3350069000.0,2000,42651,[-0.296 -0.169 -0.921  1.665 -0.307],420716150000.0,100,-3.1953735,253.75995421409607,6.510002,-6.1035157e-06,33.76448,7779.6055,699.6242
1894.6744,27.893343,5.1530037e-15,2.1020854,-116.78965027524744,21,53224.773,23.81,280856200000.0,2100,45032,[-0.308 -0.309 -1.066  1.656 -0.364],12221904000000.0,100,-3.0251923,268.04267263412476,6.4294662,2.7465821e-06,283.88885,53224.773,2932.4792
1929.7852,1.7156416,0.00083931827,2.0659153,-116.74181674744459,22,3311.4604,23.46,178481420.0,2200,47378,[-0.472 -0.452 -1.127  1.638 -0.545],1419.5359,100,-3.5834122,283.53962755203247,6.331032,1.6784668e-06,7.0094147,3311.4604,200.72755
1847.1803,10.530253,8.031022e-06,2.4152565,-117.45842337119302,23,19561.844,24.41,34831647000.0,2300,49819,[-0.588 -0.433 -1.08   1.586 -0.434],803395.4,100,-3.235382,297.1147515773773,7.287369,6.408691e-06,101.24076,19561.844,1361.5073
2068.6782,1.2395936,0.00010890316,2.0934734,-115.2072888212448,24,2566.2896,21.94,14958596.0,2400,52013,[-0.552 -0.498 -1.187  1.514 -0.468],12.352135,100,-3.0886917,311.69477224349976,6.9295044,3.0517579e-06,1.8839709,2566.2896,13.25271
1940.844,1.7402213,0.00013703304,2.2056,-116.35673572815365,25,3388.2727,23.29,128069096.0,2500,54342,[-0.568 -0.543 -1.22   1.47  -0.589],112.631134,100,-3.3793488,324.803902387619,6.530342,-9.918213e-07,5.913856,3388.2727,46.582207
1964.9618,3.8588588,5.0532762e-08,2.2896109,-116.04869960119296,26,7599.0635,23.01,1996295400.0,2600,56643,[-0.458 -0.555 -1.242  1.546 -0.611],1645.2412,100,-3.5249405,337.65450525283813,6.2614136,-3.5095215e-06,22.886038,7599.0635,176.31627
2092.5479,1.9993334,0.00015653248,2.042534,-114.87732896486051,27,4200.276,21.69,320385630.0,2700,58812,[-0.396 -0.478 -1.248  1.55  -0.705],77.12053,100,-2.8018875,350.19402289390564,7.7974777,1.2207031e-06,8.719318,4200.276,109.11614
2079.7468,38.01821,1.8523158e-10,2.5342858,-114.7339289542641,28,79598.48,21.77,589666600000.0,2800,60989,[-0.476 -0.526 -1.259  1.545 -0.716],6347952.5,100,-3.4262924,362.7879662513733,6.9126053,7.705688e-06,377.05078,79598.48,9476.556
2064.8674,2.0445225,3.816231e-05,2.4745336,-114.99875554747398,29,4241.3906,21.94,868289600.0,2900,63183,[-0.454 -0.58  -1.249  1.447 -0.8  ],15051.807,100,-3.3174133,377.9157407283783,7.599907,-9.9182125e-06,14.519477,4241.3906,149.5281
1941.6543,1.4998246,0.00070266746,2.036912,-116.15879234597026,30,2918.3362,23.25,83338450.0,3000,65508,[-0.517 -0.585 -1.215  1.52  -0.756],21.202215,100,-3.4987488,390.1407833099365,4.485489,-1.3732911e-06,4.7668004,2918.3362,78.38999
2142.6838,1.8551594,3.2440916e-05,1.9727205,-114.90645193925971,31,3988.6843,21.28,403358980.0,3100,67636,[-0.565 -0.534 -1.224  1.504 -0.7  ],700.4666,100,-2.810669,402.90849471092224,7.0262985,-1.0147095e-05,9.51426,3988.6843,95.93566
2126.7341,18.282934,3.3857845e-07,2.185679,-114.72905317297443,32,39106.42,21.38,147623740000.0,3200,69774,[-0.505 -0.605 -1.218  1.459 -0.776],40643224.0,100,-2.9410324,416.0486812591553,8.875771,-5.645752e-06,182.84377,39106.42,3118.1772
1978.2191,4.0154757,1.0074878e-07,2.5018349,-116.28349176018925,33,7987.0,22.92,2793352400.0,3300,72066,[-0.503 -0.624 -1.141  1.478 -0.733],51662.727,100,-3.023407,430.8047208786011,7.931526,2.4414062e-06,27.117071,7987.0,239.59877
1985.0519,3.3248355,0.00066637195,2.1492877,-116.76906450964862,34,6633.105,22.94,1841251800.0,3400,74360,[-0.52  -0.687 -1.108  1.459 -0.762],4018.3516,100,-3.0141678,444.59644746780396,7.4346695,-1.6021728e-06,21.728746,6633.105,347.59912
2079.175,1.1123308,0.09752821,2.2687035,-115.41726051663376,35,2313.822,21.88,7075553.0,3500,76548,[-0.552 -0.747 -1.188  1.468 -0.713],2.7651854,100,-3.2017746,458.56027913093567,6.841034,-1.2207031e-06,1.2924021,2313.822,15.415908
1852.9663,4.4097724,9.21717e-25,2.6467319,-117.2852841698713,36,8182.6636,24.32,6370384400.0,3600,78980,[-0.524 -0.772 -1.176  1.448 -0.687],inf,100,-3.478096,471.3626301288605,8.355217,9.155273e-07,43.223953,8182.6636,639.8771
1784.0894,1.1285443,0.0046236375,2.3793359,-118.86125637311227,37,2015.7899,25.34,19256956.0,3700,81514,[-0.51  -0.708 -1.057  1.64  -0.741],12.941892,100,-3.7290344,486.4605095386505,7.515938,8.163453e-06,2.4910998,2015.7899,22.071642
1726.5065,3.2157784,6.353879e-08,2.7846448,-119.48900960052244,38,5568.6284,26.11,2080625700.0,3800,84125,[-0.496 -0.739 -1.036  1.628 -0.743],5726.196,100,-3.6489563,499.0016508102417,7.671974,-3.2043456e-06,26.942719,5568.6284,1109.2816
1691.6989,7.305345,4.7951534e-08,2.6722054,-120.32387689491287,39,12491.535,26.68,13821613000.0,3900,86793,[-0.643 -0.775 -1.041  1.723 -0.828],3944872.2,100,-3.148117,513.0503237247467,7.4939575,-7.019043e-06,70.6628,12491.535,753.9418
1832.8934,2.973498,7.526614e-05,2.2940774,-118.54527463020175,40,5456.116,24.75,1025017600.0,4000,89268,[-0.487 -0.821 -1.097  1.646 -0.851],129492.96,100,-3.4220505,527.0855150222778,8.656288,3.890991e-06,17.920263,5456.116,813.329
1783.8184,1.0949014,0.032330506,2.5500605,-119.04224973847352,41,1953.8198,25.37,4842833.0,4100,91805,[-0.508 -0.799 -1.054  1.718 -0.859],3.6700015,100,-3.5793762,541.0256519317627,8.200813,-2.5939942e-06,1.2454666,1953.8198,8.203539
1678.4191,2.2696264,5.761669e-06,2.6057613,-120.24407172767533,42,3799.8716,26.83,738672060.0,4200,94488,[-0.481 -0.781 -1.053  1.731 -0.856],61834.28,100,-3.0566177,552.894478559494,7.767807,-1.8310546e-06,19.327065,3799.8716,2016.2401
1717.4393,19.501875,4.3070923e-21,2.5481865,-119.89550032339466,43,33675.676,26.29,112695270000.0,4300,97117,[-0.483 -0.797 -1.012  1.806 -0.864],8.704732e+21,100,-3.349205,566.4756574630737,7.6377335,7.400513e-06,197.26561,33675.676,2023.0479
1709.379,3.3729868,5.7496445e-11,2.2521536,-120.58803496152939,44,5791.4946,26.52,2434056200.0,4400,99769,[-0.4   -0.668 -0.952  1.813 -0.995],250016060.0,100,-2.8701782,581.2531907558441,6.95343,6.4849855e-06,29.013594,5791.4946,296.07727
1674.3097,2.2438447,1.3760972e-05,2.3128867,-121.48537461771998,45,3774.8555,27.12,429682240.0,4500,102481,[-0.403 -0.66  -0.892  1.886 -1.129],28288.893,100,-2.8969421,595.7221958637238,7.5881424,-7.400513e-06,12.538679,3774.8555,104.913055
1696.1908,1.0856391,0.0232785,2.5495718,-120.70950375744391,46,1843.3496,26.7,6893762.0,4600,105151,[-0.375 -0.625 -0.911  1.898 -1.112],2.821739,100,-3.5636063,609.422966003418,6.870117,6.713867e-06,1.5667487,1843.3496,14.381589
1660.8075,1.6537017,4.6572084e-05,2.2077537,-121.1860310985358,47,2752.957,27.23,101833470.0,4700,107874,[-0.397 -0.642 -0.913  1.913 -1.111],236.63066,100,-2.9777832,620.9250271320343,6.2717056,1.7547608e-06,6.1124697,2752.957,69.614265
1777.9148,1.2858121,0.004661959,2.246875,-119.65901347020815,48,2288.7578,25.55,10798887.0,4800,110429,[-0.398 -0.64  -0.95   1.908 -1.146],8.360217,100,-2.8452454,634.0591113567352,7.0450363,1.2969971e-06,1.8571306,2288.7578,16.646843
1780.0662,5.6720486,1.3377511e-13,2.1596937,-120.05156594702356,49,10134.281,25.6,9039565000.0,4900,112989,[-0.426 -0.615 -0.928  1.929 -1.139],8.782319e+22,100,-2.5962906,647.758941411972,7.21418,1.0147095e-05,53.655796,10134.281,925.6439
1595.6407,1.1203635,0.0077834707,2.49565,-122.45126380407822,50,1789.124,28.33,6385622.0,5000,115822,[-0.398 -0.573 -0.865  1.995 -1.137],7.1640596,100,-3.5640945,661.5330667495728,6.354637,8.392334e-06,1.6073406,1789.124,13.388069
