TimestepsSoFar,ESSRenyiHarmonic,InitialReturnMin,OptimizationReturnMax,MaxIW,ReturnStepMaxmin,Bound,EmpiricalD2Arithmetic,TimeElapsed,EpRewMean,StdIW,Inner Iteration,OptimizationReturnMin,EpLenMean,Epsilon,EmpiricalD2Harmonic,OptimizationReturnMean,MeanIW,InitialBound,MeanEntropy,InitialReturnStd,VarianceInitializer,MeanD2-0,ReturnMeanIW,MinTargetPdf,InitialReturnMax,MinIW,StdWReturnMean,LearnableVariance,EpThisIter,MinBehavPdf,Iteration,Penalization,InitialReturnMean,ReturnStepMax,EpisodesSoFar,WReturnMean,DivergenceHarmonic,ESSRenyiArithmetic
450,50.0,9.980229,319.91803,11046.931,9.999994,-30609076000.0,1.0,0.7643640041351318,79.94912889491805,1652.8407,1,,9.0,1.0,1.0,69.9689,347.92316,-18955.955,0.4189424,60.645878,-1.0,1.0,3858801.0,-15.862925,329.89825,0.13444854,,,50,-15.862925,1,True,79.94913,9.999994,50,10069.785,11862116000000.0,50.0
1064,0.001502992,9.985486,379.96173,13.955828,9.999997,-7.970945e+21,33266.977,1.5221033096313477,112.72814726293633,2.228889,2,,12.28,1.0,33266.977,102.74267,0.7462848,-7.970945e+21,0.4189424,78.4749,-1.0,33266.977,5161.71,-25.592176,389.9472,1.2089899e-07,,,50,-17.628021,1,True,112.72814,9.999997,100,5161.71,4.1218063e+35,0.001502992
1676,0.0056281425,9.984109,399.9202,12.614083,9.999988,-7.73475e+19,8883.926,1.9620752334594727,112.32688072495975,2.5529342,3,,12.24,1.0,8883.926,102.34277,0.8943266,-7.73475e+19,0.4189424,80.59617,-1.0,8883.926,6424.9995,-26.54591,409.9043,1.0104929e-05,,,50,-20.794666,1,True,112.32688,9.999988,150,6424.9995,3.1787329e+31,0.0056281425
2219,0.019160429,9.983182,349.9172,4.177274,9.999995,-2.23404e+18,2609.545,2.3235442638397217,98.5291967219869,0.96341157,4,,10.86,1.0,2609.545,88.54601,0.58944374,-2.23404e+18,0.4189424,66.64735,-1.0,2609.545,5258.5234,-28.399174,359.9004,2.618658e-07,,,50,-20.821457,1,True,98.5292,9.999995,200,5258.5234,4.462147e+28,0.019160429
2867,0.061240323,19.969095,319.98245,17.37829,9.999999,-1.0040798e+16,816.45544,2.527818202972412,119.52902052773044,3.5526268,5,,12.96,1.0,816.4555,99.55992,1.3570492,-1.0040798e+16,0.4189424,79.00961,-1.0,816.45544,3388.7095,-23.877375,339.95154,7.097941e-07,,,50,-16.79823,1,True,119.529015,9.999999,250,3388.7095,1.13229545e+24,0.06124033
3445,0.14259796,9.982692,349.9216,10.705046,9.999997,-157271250000000.0,350.63617,2.9064345359802246,105.53119714829425,2.0062687,6,,11.56,1.0,350.63617,95.54851,0.9114604,-157271250000000.0,0.4189424,80.4337,-1.0,350.63617,2833.435,-19.496527,359.9043,9.955556e-06,,,50,-14.6545315,1,True,105.531204,9.999997,300,2833.435,2.2112704e+20,0.14259796
4115,3.23689e-05,9.981666,499.93628,28.374893,10.0,-inf,1544692.6,3.1914401054382324,123.93054923156265,4.099695,7,,13.4,1.0,1544692.6,113.94888,1.1543924,-inf,0.4189424,105.11743,-1.0,1544692.6,3053.7676,-29.465508,509.91794,5.1008593e-09,,,50,-24.781631,1,True,123.93055,10.0,350,3053.7676,inf,3.23689e-05
4722,0.63341576,19.968143,299.91742,126.41716,9.999993,-1011062600000.0,78.937096,3.4639339447021484,111.32319860989344,18.071756,8,,12.14,1.0,78.937096,91.35505,3.9202192,-1025595870000.0,0.4189424,77.442474,-1.0,78.937096,9681.295,-19.429512,319.88556,2.5775972e-07,,,50,-12.376377,1,True,111.3232,9.999993,400,9612.271,1.4644305e+16,0.63341576
5341,0.10650108,9.981875,339.94336,40.86228,10.0,-1536221000000000.0,469.47882,3.8324291706085205,113.72115461811823,5.780689,9,,12.38,1.0,469.47882,103.73928,1.2639041,-1536221000000000.0,0.4189424,65.55837,-1.0,469.47882,7162.1265,-19.759037,349.92523,7.237304e-06,,,50,-13.840906,1,True,113.72115,10.0,450,7162.1265,2.361009e+22,0.10650108
5961,0.0007512227,19.966396,409.9429,145.25612,9.999979,-inf,66558.16,4.120809078216553,113.92980719781669,20.369368,10,,12.4,1.0,66558.16,93.96341,3.713222,-inf,0.4189424,87.58331,-1.0,66558.16,11237.454,-25.558413,429.9093,4.16958e-06,,,50,-19.364565,1,True,113.9298,9.999979,500,11237.454,inf,0.0007512227
6570,50.0,19.968964,449.9302,2706994400.0,9.999995,-2.2935542e+20,1.0,4.501842498779297,111.72736426367686,378889400.0,1,,12.18,1.0,1.0,91.7584,55402936.0,-37776.016,0.4189424,85.23102,-1.0,1.0,1400331600000.0,-18.10094,469.89917,0.8309514,,,50,-18.10094,2,True,111.72737,9.999995,550,19747.33,1.6184173e+32,50.0
7594,1.0878399e-07,39.940773,609.95154,15.259264,9.999998,-inf,459626460.0,4.842089414596558,194.68679222674487,2.161818,2,,20.48,1.0,459626430.0,154.74603,0.5031473,-inf,0.4189424,134.0964,-1.0,459626460.0,4044.2441,-44.523685,649.89233,3.9376722e-16,,,50,-26.7883,2,True,194.6868,9.999998,600,4044.2441,inf,1.08783986e-07
8514,0.00036795583,39.931236,369.98495,161.28636,9.999996,-inf,135885.88,5.25166130065918,173.88990147660064,22.653864,3,,18.4,1.0,135885.88,133.95866,4.1422334,-inf,0.4189424,94.54851,-1.0,135885.88,23504.828,-28.168613,409.9162,3.467299e-11,,,50,-16.551277,2,True,173.88992,9.999996,650,23504.828,inf,0.00036795583
9508,5.5029215e-08,39.933884,629.9595,20.07288,9.999997,-inf,908608300.0,5.634477376937866,188.6935966402094,3.6205065,4,,19.88,1.0,908608260.0,148.75972,0.8411295,-inf,0.4189424,118.11161,-1.0,908608300.0,8829.779,-44.678856,669.8934,3.8254054e-13,,,50,-30.616852,2,True,188.69362,9.999997,700,8829.779,inf,5.502921e-08
