StdIW,TimeElapsed,InitialReturnMax,Bound,MinIWNorm,MinIW,MaxIW,Iteration,InitialReturnStd,EpRewMean,EmpiricalD2,MaxIWNorm,ESSClassic,EpThisIter,ReturnMeanIW,TimestepsSoFar,InitialBound,EpLenMean,MeanIWNorm,InitialReturnMin,ESSRenyi,StdIWNorm,J_sample_variance,Weights,MeanIW,InitialReturnMean,EpisodesSoFar
46.585396,0.8206532001495361,124.800446,298.01483,4.923523e-25,4.9235232e-23,468.4111,1,42.96297,55.165755382738425,2657.9326,4.684111,1.1556822,100,298.01483,652,-1.1324883e-06,6.52,0.05037246,-55.165756,0.037623227,0.46585396,9218916.0,[ 0.579 -0.554  0.227  0.402  0.   ],5.037246,-1.4495849e-06,100
13.008132,3.3794047832489014,139.68436,199.03468,6.0855754e-10,6.0855754e-08,120.46215,2,40.84766,70.256509444387,33.50715,1.2046214,3.410303,100,199.03468,1455,2.026558e-06,8.03,0.024442518,-60.275154,2.9844377,0.1300813,2899646.8,[ 0.197 -1.076 -0.035  0.555 -0.85 ],2.444252,2.0599366e-06,200
6.7950926,5.189651012420654,239.68654,72.880844,3.31398e-09,3.31398e-07,60.04972,3,58.65675,100.24229238393212,67.44191,0.6004972,4.916372,100,72.880844,2558,-1.66893e-06,11.03,0.015451293,-80.27548,1.4827576,0.06795092,277862.88,[-0.287 -0.836 -0.747  0.243 -1.312],1.5451294,-1.1444092e-06,300
2.9370725,7.156130313873291,335.59155,41.209812,4.1127482e-06,0.0004112748,24.581594,4,67.35917,154.32012134983893,33.43729,0.24581593,8.394511,100,41.209812,4202,7.6293945e-06,16.44,0.00889102,-104.397896,2.990673,0.029370723,49530.77,[-0.814 -0.513 -1.258  0.091 -1.681],0.88910204,7.93457e-06,400
2.8915424,8.850756883621216,215.7128,56.234486,2.372265e-05,0.002372265,16.945791,5,57.939743,194.21164855072254,49.20652,0.16945791,13.87623,100,56.234486,6245,9.149313e-06,20.43,0.011606567,-104.28006,2.0322511,0.028915424,74495.305,[-1.035 -0.256 -1.453 -0.038 -1.849],1.1606568,9.155274e-06,500
44.44664,10.68402099609375,449.81464,107.13611,1.2238929e-06,0.00012238929,446.92178,6,91.782936,240.10749123497436,138.54504,4.469218,1.2428285,100,107.13611,8747,8.821487e-06,25.02,0.049860917,-110.277954,0.7217869,0.44446635,791427.6,[-1.124 -0.083 -1.626 -0.107 -1.912],4.986091,9.307862e-06,600
994.32,12.714375972747803,231.79036,9164.58,6.160813e-28,6.160813e-26,9993.328,7,71.27883,248.10062508539536,inf,99.93328,1.0007149,100,9164.58,11329,-6.7949295e-06,25.82,0.99969,-238.11871,,9.9432,8409326000.0,[-1.085  0.016 -1.651 -0.029 -2.116],99.968994,-6.866455e-06,700
2.953,15.77675747871399,435.43195,167.92294,5.1767714e-05,0.0051767714,21.337305,8,127.835526,274.3778677811004,138.37553,0.21337305,8.561452,100,167.92294,14174,-1.4305115e-06,28.45,0.009035923,-184.42601,0.7226711,0.029530002,1014596.2,[-0.788  0.393 -1.569 -0.309 -2.146],0.9035923,-2.4414062e-06,800
12.053988,17.92094135284424,488.70697,139.11899,6.240235e-22,6.240235e-20,116.37928,9,145.67336,361.170542370103,1.457727e+18,1.1637927,2.626934,100,139.11899,17887,1.001358e-05,37.13,0.019798668,-261.23883,6.859995e-17,0.12053988,1632861.2,[-0.827  0.358 -1.572 -0.343 -2.139],1.9798666,9.307862e-06,900
40.23489,20.321563005447388,353.48743,929.56537,1.941842e-06,0.0001941842,394.58524,10,130.16675,406.2502344502075,8988.868,3.9458523,1.6882473,100,929.56537,22051,5.1498413e-05,41.64,0.05272518,-156.4326,0.011124871,0.4023489,46697116.0,[-0.792  0.276 -1.516 -0.468 -2.185],5.272519,5.0354003e-05,1000
