MinIW,Weights,EpRewMean,InitialReturnMin,TimestepsSoFar,InitialReturnStd,EpThisIter,EpisodesSoFar,InitialBound,InitialReturnMean,InitialReturnMax,TimeElapsed,Iteration,J_sample_variance,Bound,MeanIW,EmpiricalD2,ReturnMeanIW,EpLenMean,StdIW,MaxIW
1.7569198e-08,[ 0.579 -0.554  0.227  0.402  0.   ],-141.8229098366061,-13.620404,4609,4.7915983,100,100,-4044184.2,-8.5830686e-07,7.375037,9.133659362792969,1,751.4585,-4044178.2,0.22716536,680182700.0,24.108635,46.09,1.0258062,58.190475
5.7523383e-05,[ 0.498 -0.644  0.111  0.357  0.014],-155.32750190150134,-8.5728035,10564,2.8715372,100,200,-43562.215,2.3841858e-08,4.1442347,24.758545398712158,2,1124.309,-43558.22,0.93322015,11331922000000.0,19.334763,59.55,2.958575,45.61805
1.9948031e-05,[ 0.418 -0.696  0.136  0.282  0.183],-159.8810950119641,-8.355727,17025,2.0625088,100,300,-138850.45,-8.058548e-07,3.9876747,40.39707350730896,3,23464.775,-138831.4,1.8919458,722660660000000.0,34.433994,64.61,13.715539,490.90677
0.266939,[ 0.394 -0.749  0.127  0.129  0.381],-169.9828537426941,-7.714406,24835,1.8117738,100,400,-20.958693,3.6239624e-07,4.7442656,61.946022272109985,4,5.0728393,-20.73906,1.024568,1.3359287,12.815068,78.1,0.51683676,3.6629634
3.7940458e-06,[ 0.371 -0.761  0.108  0.133  0.368],-173.53838567081712,-7.597233,32940,2.0429618,100,500,-7255.616,3.1471254e-07,3.8826337,81.40430855751038,5,162.86143,-7253.9253,0.4483069,4321862.5,13.703281,81.05,1.4895043,21.558487
0.9998388,[ 0.378 -0.723  0.012  0.025  0.451],-174.40599947426497,-5.5611076,41716,1.4711943,100,600,-20831.69,-1.9073486e-08,2.9838448,102.26279187202454,6,2.1862965,-20831.69,1.0,1.0000052,11.248256,87.76,4.4888122e-05,1.0001292
0.009366023,[ 0.378 -0.723  0.012  0.025  0.451],-180.32040731484642,-7.6841326,51152,1.6928061,100,700,-216.9266,-3.2424927e-07,5.2779646,123.12650561332703,7,5.9552593,-216.50381,0.9917284,3.9803882,10.648063,94.36,1.1946019,14.9016695
0.3458026,[ 0.301 -0.775  0.014  0.038  0.396],-201.69854895359487,-2.37498,62718,1.1687441,100,800,-24.685165,-3.7670137e-07,3.465279,149.27694296836853,8,1.7622703,-24.6121,0.99791366,1.105666,8.795374,115.66,0.25626734,2.2408733
0.55176115,[ 0.298 -0.776  0.013  0.031  0.376],-208.30985264257808,-2.7485962,75128,1.386676,100,900,-25.039864,-9.536743e-08,3.8548093,177.1397180557251,9,2.2793274,-25.002686,1.0424577,1.0541633,8.369424,124.1,0.21643463,1.8062251
0.49734595,[ 0.295 -0.775  0.018  0.021  0.369],-214.641807951464,-1.8584623,88397,1.2155635,100,1000,-25.687382,-2.861023e-07,2.8736973,206.42213439941406,10,1.966032,-25.638569,1.0319047,1.0810058,7.7459784,132.69,0.25149664,1.9196532
