MaxNormIw,MinVanillaIw,MinNormIw,VarNormIw,AvgNormIw,J,VarVanillaIw,AvgVanillaIw,VarJ,VarRet,MaxVanillaIw,ESSClassic,ESSRenyi,eRenyi2,BatchSize,AvgDiscRet,Bound,VarDiscRet,AvgEpLen,AvgRet
0.055255238,5.3796975e-23,4.1149275e-25,0.00028362402,0.009999999,2608.2952,4.8476844,1.3073615,121.99887,5688470.842681565,7.223857,26.261349713607185,19.905812560065495,5.0236583,100,4.956746124662459e-13,2216.8682,5688470.842681565,200.0,-2654.305220661724
0.02405559,5.235681e-07,4.89941e-09,7.936474e-05,0.01,4.221093,0.90633,1.0686349,8.648615,490.41399611364017,2.5706644,56.00010331219731,52.89842561026473,1.8904154,100,-1.4921397450962103e-15,1.7322445,490.41399611364017,200.0,-11.04118860609056
0.34128857,,,0.0024989373,0.01,7.436806,18.492186,0.8602338,4.858338,57.094776398264756,29.358795,3.88508257673731,1.712022309372745,58.410454,100,1.1901590823981679e-15,4.2126985,57.09477639826478,200.0,-8.664100464420137
0.25230616,3.6645504e-12,0.0044548763,0.00062486064,0.01,1.8352364,4.2281778e-22,8.22593e-12,15.526959,57.966332415812026,2.075453e-10,13.915714653271676,nan,nan,100,-4.618527782440651e-16,0.11872518,57.966332415812026,200.0,-9.269714732264541
0.07848276,,,0.00040662353,0.01,1096.9663,3.6014628,0.9411161,407.46143,938713.6945532303,7.3861394,19.898230273039314,19.05613282679376,5.2476544,100,3.637978807091713e-14,914.2948,938713.6945532303,200.0,-4888.107040272842
0.5146555,,,0.0033819193,0.010000002,189.97498,0.23079115,0.08260909,358.25348,42085.02403702814,4.251522,2.9001467560277367,0.521116277886273,191.89575,100,-3.774403012357652e-13,88.661934,42085.024037028146,200.0,-3847.99965629377
0.34809002,,,0.0032698924,0.009999999,208.63028,190.54474,2.4139695,82.12605,42516.99822570505,84.02787,2.996529946084898,1.6828642176424957,59.4225,100,3.228706191293895e-13,108.4497,42516.99822570505,200.0,-3830.8924045122317
0.039670736,0.66267765,0.0071556238,2.3682866e-05,0.010000002,5.0998983,0.20311588,0.92609346,220.1698,52818.802913412685,3.6738808,81.00705213952612,47.083192125800224,2.1239002,100,-5.32054400537163e-13,-16.375656,52818.8029134127,200.0,-3858.090984522498
0.24755648,7.05448e-15,1.0488291e-16,0.001174715,0.01,102.99043,5.3143845,0.6726053,385.2138,55764.908347358214,16.65078,7.917857719248819,10.764914691282879,9.289437,100,,32.409378,55764.908347358214,200.0,-3876.265016425532
0.029206412,0.51408625,0.0058820173,2.1121201e-05,0.01,3.2942429,0.16133848,0.8739965,212.20744,43740.16762691768,2.5526302,82.70615395918252,51.34612523078221,1.9475666,100,1.014086592476815e-12,-16.046932,43740.167626917675,200.0,-3851.2091228891964
0.2833334,,,0.002075848,0.01,128.48262,26.507069,1.1300122,471.59796,44122.07328809834,32.017017,4.64017957166205,4.425730025808767,22.595142,100,5.138645065017044e-13,46.47162,44122.07328809834,200.0,-3838.363941423672
1.0,,,0.010000003,0.01,219.35153,,4.192981e-37,,47618.94024227294,4.192981e-35,inf,4.7977450790290664e-20,2.0843125e+21,100,-6.821210263296962e-13,35.82393,47618.94024227294,200.0,-3822.0342443652503
0.2493059,,,0.0016348212,0.01,183.0387,12.125101,0.86120695,184.25648,50828.825404625204,21.470398,5.819120730960203,6.578849212097956,15.200227,100,-6.366462912410498e-14,104.43592,50828.825404625204,200.0,-3844.612452554197
