EpThisIter,Weights,TimeElapsed,J_sample_variance,InitialReturnMax,TimestepsSoFar,InitialReturnMean,ReturnMeanIW,InitialBound,InitialReturnMin,EpRewMean,StdIW,EpisodesSoFar,InitialReturnStd,Iteration,MeanIW,Bound,MaxIW,MinIW,EmpiricalD2,EpLenMean
100,[ 0.579 -0.554  0.227  0.402  0.   ],10.540722846984863,260669.72,7.375037,4609,-8.5830686e-07,164.94363,125.37235,-13.620404,-141.8229098366061,3.9973187,100,4.7915983,1,1.2926366,164.94363,37.355976,0.002378352,29.317331,46.09
100,[ 0.604 -0.416  0.225  0.373 -0.007],24.758509397506714,29817274.0,8.649666,8156,-1.9073486e-08,755.62274,192.4029,-16.131203,-131.62554532086887,27.633743,200,5.291434,2,3.793699,755.62274,585.90826,2.6343196e-06,206738.56,35.47
100,[ 0.688 -0.293  0.301  0.468  0.011],39.29282999038696,4441824.5,10.495513,11191,4.386902e-07,467.51053,261.16357,-19.52348,-126.20921686059968,7.864515,300,6.645594,3,1.743147,467.51053,59.80925,2.769197e-06,346.96835,30.35
100,[ 0.599 -0.35   0.278  0.478 -0.216],52.96216940879822,556595.8,8.710928,14414,1.2397766e-07,319.0797,227.19637,-13.335986,-128.43926843534956,3.293627,400,5.452242,4,1.4122208,319.0797,30.373047,5.1813055e-05,4375.866,32.23
100,[ 0.729 -0.429  0.381  0.379 -0.21 ],65.69644784927368,38106452.0,10.696465,17244,7.5340273e-07,722.6631,292.74756,-11.996687,-123.73747535443071,20.853956,500,6.1401005,5,2.4252453,722.6631,214.45914,3.9388763e-11,1367738.4,28.3
100,[ 0.638 -0.491  0.361  0.312 -0.48 ],79.26541590690613,12292548000.0,10.443108,20074,1.04904174e-07,11294.688,277.15857,-12.909809,-124.29089382724025,387.76425,600,5.8431306,6,38.813347,11294.688,4049.0833,2.4882338e-08,1.1749327e+24,28.3
100,[ 0.748 -0.391  0.251  0.437 -0.418],95.67342329025269,46820916.0,9.116285,23658,-1.9073487e-07,1257.8535,198.2547,-16.907116,-132.0573566269378,33.68338,700,6.0256124,7,6.1067767,1257.8535,287.77048,1.5678711e-07,298136.75,35.84
100,[ 0.765 -0.573  0.308  0.469 -0.452],112.30812692642212,970282.8,7.989395,27413,-9.727478e-07,299.74246,173.44049,-13.220223,-133.74623667181655,5.5442944,800,5.475916,8,1.6835039,299.74246,122.76246,2.2140004e-05,1368.26,37.55
100,[ 0.742 -0.614  0.355  0.434 -0.496],126.92308616638184,138018370.0,9.75606,31006,3.8146972e-08,1514.8655,199.60623,-13.117501,-131.75773713290832,59.534252,900,6.046136,9,7.5874014,1514.8655,598.2208,1.38344435e-17,3.787815e+16,35.93
100,[ 0.773 -0.714  0.483  0.609 -0.55 ],142.4125006198883,30009528.0,8.006207,34419,1.4781951e-06,764.43933,202.29953,-14.841032,-129.8839351824583,26.547512,1000,5.86217,10,3.654482,764.43933,269.0781,0.00029144887,674058750.0,34.13
100,[ 0.826 -0.661  0.513  0.637 -0.38 ],157.18578100204468,3725388500.0,11.353681,37523,6.7710874e-07,6937.5,254.23817,-14.313072,-126.33353493967473,233.9994,1100,7.068865,11,25.93284,6937.5,4019.244,5.1331266e-31,inf,31.04
100,[ 0.661 -0.878  0.722  0.905 -0.261],172.5165238380432,10481597000.0,9.9816475,40420,2.0503999e-06,10527.529,262.3266,-15.574999,-124.54853852450468,376.1865,1200,6.202839,12,38.17755,10527.529,7674.7437,1.1030892e-10,1643121.5,28.97
100,[ 0.767 -0.807  0.616  1.001 -0.38 ],187.67831373214722,20888800.0,8.596344,43611,7.4386594e-07,509.76346,223.60156,-11.809317,-127.8750646982698,19.86293,1300,5.442653,13,2.195332,509.76346,328.04315,7.5496e-10,59059476.0,31.91
100,[ 0.861 -1.017  0.624  1.119 -0.399],202.10875940322876,420044.84,10.577654,46952,-9.536743e-09,286.79144,222.29074,-12.02286,-129.33870062918422,2.8088148,1400,6.1157875,14,1.2727106,286.79144,36.663837,0.033365496,648.0352,33.41
