Weights,MinIW,ReturnStepMaxmin,StdD2w0t,TimeElapsed,Iteration,MeanIW,Bound,ReturnMeanIW,EntropyCoefficient,J_sample_variance,InitialReturnStd,ReturnStepMax,MinD2w0t,StdIW,MeanD2w0t,EpThisIter,InitialReturnMean,MaxIW,EmpiricalD2,TimestepsSoFar,EpLenMean,EpRewMean,InitialReturnMin,InitialBound,InitialReturnMax,MeanEntropy,MaxD2w0t,EpisodesSoFar
[-0.363 -0.706 -0.522 -0.672  0.27   0.257  0.436 -0.64   0.157  0.155
 -0.064  0.   ],0.50235903,9.140025,0.2481267,8.150895118713379,1,0.95270455,-1410.1272,-635.8069,10.0,14485.044,53.6004,9.359536,,0.17875876,0.06429397,100,9.155273e-07,1.8616751,1.0410411,3147,31.47,291.090571692161,-74.15733,-1432.1858,169.17534,1.4160436,1.1782463,100
[-0.357 -0.696 -0.517 -0.653  0.288  0.269  0.47  -0.62   0.157  0.155
 -0.064 -0.003],0.45507473,9.158363,0.25716963,25.76101803779602,2,0.9513347,-1471.1991,-623.2458,10.0,23745.08,64.28407,9.359507,,0.2022233,0.069534235,100,2.9449462e-05,1.5593476,1.0439373,6554,34.07,315.4518615727898,-82.408844,-1488.1573,286.04388,1.3974538,1.1549948,200
[-0.351 -0.701 -0.519 -0.66   0.279  0.258  0.472 -0.621  0.157  0.155
 -0.064 -0.022],0.21321926,9.146871,0.27378818,40.603729009628296,3,0.8244214,-1351.5696,-547.10126,10.0,74407.25,46.624367,9.359849,,0.38070324,0.07019625,100,-2.3651122e-05,3.345376,1.4616934,9711,31.57,292.1285407976624,-91.87358,-1413.7421,141.94101,1.4218767,2.516477,300
[-0.344 -0.703 -0.507 -0.66   0.291  0.23   0.494 -0.579  0.157  0.155
 -0.064  0.003],0.33692566,9.138589,0.2556953,56.09255242347717,4,0.89807594,-1385.7987,-591.81415,10.0,65905.88,55.49561,9.359689,,0.35370064,0.06765313,100,-2.2888185e-06,2.1662636,1.1703411,12990,32.79,303.2792656848345,-98.563995,-1433.0016,176.86719,1.4105192,1.3390145,400
[-0.359 -0.682 -0.494 -0.656  0.296  0.245  0.548 -0.542  0.157  0.155
 -0.064 -0.008],0.15284605,9.148992,0.28361994,72.99153184890747,5,0.8964285,-1440.4965,-586.50134,10.0,99365.51,54.749897,9.359166,,0.4682398,0.07391456,100,2.4719238e-05,3.3584747,1.6163336,16308,33.18,307.050354488885,-78.01013,-1463.0712,230.67548,1.401253,3.221383,500
