Iteration,InitialReturnMin,Bound,InitialReturnStd,StdD2w0t,EpisodesSoFar,MinD2w0t,MeanIW,EmpiricalD2,EpThisIter,ReturnMeanIW,ReturnStepMaxmin,StdIW,MeanEntropy,InitialReturnMean,EpRewMean,TimeElapsed,MeanD2w0t,J_sample_variance,ReturnStepMax,EntropyCoefficient,MinIW,EpLenMean,MaxIW,InitialReturnMax,InitialBound,TimestepsSoFar,MaxD2w0t,Weights
1,-22.270657,-617.3876,12.577936,1.7675323,100,,0.593653,29.06421,100,-483.39355,8.69218,1.4645802,1.3965708,-4.348755e-06,77.5307238426685,2.4046006202697754,0.13694572,1452045.6,9.35921,10.0,0.0033619318,8.59,12.578825,36.913948,-844.37067,859,60.032314,[-0.236 -0.439 -0.312 -0.163 -0.279 -0.163 -0.126  0.577  0.046  0.055
 -0.111  0.   ]
2,-19.082443,-748.145,12.811937,0.9377012,200,,0.8282635,8.842237,100,-682.6856,8.665168,1.0365635,1.327245,1.335144e-06,73.9807477177543,12.832926034927368,0.05389885,750144.25,9.356938,10.0,0.0012917705,8.21,9.1087,39.849556,-846.4221,1680,59.141575,[-0.242 -0.445 -0.317 -0.158 -0.281 -0.155 -0.189  0.668  0.046  0.055
 -0.111 -0.022]
3,-20.317348,-694.4889,12.506349,0.43989164,300,,0.77265376,6.2436457,100,-635.14545,8.664465,0.7551159,1.5175767,1.6403199e-06,75.34100476121357,25.590282201766968,0.043465246,392222.38,9.359699,10.0,0.13894759,8.36,8.587514,30.922173,-844.7006,2516,23.03151,[-0.24  -0.446 -0.31  -0.044 -0.165 -0.128 -0.208  0.74   0.046  0.055
 -0.111 -0.092]
4,-18.229671,-514.8343,10.486995,4.5355644,400,,0.3519546,55.719326,100,-285.501,8.654007,0.8258324,1.1948576,-2.2888185e-06,73.04374931784733,36.34931421279907,0.34765726,463871.88,9.359249,10.0,4.108974e-08,8.11,9.907667,31.752716,-844.3562,3327,300.04938,[-0.219 -0.467 -0.275 -0.027 -0.15   0.032 -0.188  0.658  0.046  0.055
 -0.111  0.099]
5,-18.462181,-684.55457,11.633201,0.6086397,500,,0.74359787,7.4041243,100,-611.9692,8.672243,0.69393337,1.3730464,-9.880066e-06,73.29758985119389,49.453795433044434,0.059736114,333329.06,9.359144,10.0,0.100925915,8.13,6.704127,40.92002,-849.52167,4140,20.417498,[-0.181 -0.474 -0.164  0.117 -0.038  0.499 -0.104  0.282  0.046  0.055
 -0.111 -0.224]
