Weights,TimeElapsed,EpisodesSoFar,InitialReturnMax,InitialBound,ReturnMeanIW,MinD2w0t,MaxD2w0t,MeanD2w0t,MeanEntropy,Iteration,EpLenMean,MeanIW,Bound,InitialReturnMin,ReturnStepMaxmin,MaxIW,J_sample_variance,InitialReturnMean,InitialReturnStd,StdIW,StdD2w0t,EpRewMean,MinIW,EpThisIter,EmpiricalD2,TimestepsSoFar,ReturnStepMax
[-0.236 -0.439 -0.312 -0.163 -0.279 -0.163 -0.126  0.577  0.046  0.055
 -0.111  0.   ],4.564612865447998,100,111.50975,-59.575127,75.19291,,1.0098063,0.017238202,1.4238267,1,8.59,1.0103245,-59.25434,52.325146,9.35921,1.3056203,200.21323,74.5958,12.577936,0.08001477,0.13038361,77.5307238426685,0.8726442,100,1.0060338,859,9.35921
[-0.234 -0.438 -0.309 -0.163 -0.277 -0.147 -0.125  0.562  0.046  0.055
 -0.111  0.005],15.916771411895752,200,103.019516,-58.42904,71.24553,,1.0027897,0.016370915,1.4188342,2,8.18,1.0041289,-58.306366,52.281006,9.355962,1.1048125,166.19388,71.0576,12.545202,0.042614836,0.12693828,73.70926905303754,0.89521855,100,1.0013726,1677,9.355962
[-2.352e-01 -4.279e-01 -3.118e-01 -1.598e-01 -2.737e-01 -1.544e-01
 -1.265e-01  5.673e-01  4.605e-02  5.528e-02 -1.106e-01 -2.084e-04],27.111595153808594,300,120.45758,-65.323395,73.52375,,1.0030512,0.016898593,1.408225,3,8.44,1.0052676,-65.15806,52.355015,9.359412,1.0996561,132.85057,73.24659,11.304625,0.043445095,0.12895991,76.05624277771885,0.83502173,100,1.0019653,2521,9.359412
[-0.235 -0.426 -0.311 -0.159 -0.273 -0.155 -0.128  0.566  0.046  0.055
 -0.111 -0.011],36.31153416633606,400,103.60915,-59.26394,70.45109,,1.0028634,0.016191471,1.4149263,4,8.09,1.0014768,-59.142204,52.295933,9.359351,1.1653749,145.41878,70.26961,11.664626,0.032317262,0.12625386,72.84869929501217,0.95569104,100,1.0012306,3330,9.359351
[-0.235 -0.425 -0.311 -0.155 -0.269 -0.155 -0.129  0.566  0.046  0.055
 -0.111 -0.004],46.842663049697876,500,111.58645,-61.969414,72.50307,,1.0027828,0.016657902,1.4046403,5,8.32,1.009396,-61.769165,52.22203,9.359331,1.0723122,183.0425,72.203255,13.352215,0.037299,0.12805262,74.96028555836135,0.8739443,100,1.0018666,4162,9.359331
[-0.235 -0.423 -0.311 -0.154 -0.268 -0.156 -0.129  0.568  0.046  0.055
 -0.111 -0.014],56.50642466545105,600,135.86844,-76.39385,70.99468,,1.011396,0.016238147,1.4130005,6,8.1,1.0097718,-76.03341,52.23646,9.3576,1.3120863,258.817,70.30304,14.096848,0.06818664,0.12654503,72.92599608400205,0.8623655,100,1.0037979,4972,9.3576
[-0.234 -0.431 -0.31  -0.164 -0.279 -0.154 -0.132  0.561  0.046  0.055
 -0.111 -0.006],66.04049968719482,700,103.66065,-59.235672,71.852585,,1.0325813,0.016331058,1.3857191,7,8.09,1.030665,-58.4731,52.295258,9.359971,1.2535245,173.91223,70.30644,11.8033085,0.112425,0.12734856,72.88770970856537,0.58298224,100,1.0156472,5781,9.359971
[-0.234 -0.431 -0.309 -0.178 -0.294 -0.156 -0.131  0.558  0.046  0.055
 -0.111 -0.033],73.44325876235962,800,112.17491,-62.74569,72.11974,,1.0122931,0.01650778,1.391968,8,8.22,1.0117193,-62.393562,52.268158,9.358224,1.3748934,243.08023,71.41111,13.885041,0.10340553,0.12768616,74.11188878098524,0.8420519,100,1.0072097,6603,9.358224
[-0.231 -0.439 -0.304 -0.176 -0.292 -0.137 -0.126  0.545  0.046  0.055
 -0.111 -0.027],82.89056992530823,900,118.82001,-66.0375,72.91158,,1.0056088,0.016743409,1.3836738,9,8.36,1.001217,-65.80016,52.25122,9.35968,1.1534545,204.28326,72.536446,14.007959,0.051108077,0.12840019,75.33193115845421,0.86919767,100,1.0023334,7439,9.35968
